Class,ensembl_gene_id,ensembl_transcript_id,TPM.AM,TPM.OF,TPM.IBM,TPM.IAM,TPM.SAM6D,TPM.SAM17D,TPM.SAM38D,TPM.RootTip,TPM.Callus,TPM.Hypocotyl,TPM.Cotyledon,TPM.Leaf,TPM.Root,TPM.Nodule,UniPro_Ids,class_9FAMILY_BASED,Function.y,Function2,Notes,Paralog,Corresponding_Wm82.a4.v1,Corresponding_Wm82.a1.v1.1
,GLYMA_14G179500,KRH16819,21.750232,21.417969,17.435871,15.85416,22.806197,19.605122,9.950014,11.207461,12.500697,17.456177,8.50609,19.094595,14.355242,3.39486,I1MAY4,AFB4/5,AFB/TIR1,AFB4/5,NA,NA,NA,NA
,GLYMA_16G050500,KRH06858,55.69842,35.061948,58.586254,32.831068,82.133333,87.939197,38.297183,13.107811,47.396469,27.176499,27.899216,32.138566,17.503017,8.945171,I1MLC0,AFB2/3,AFB/TIR1,AFB2/3,NA,NA,NA,NA
,GLYMA_18G030200,KRG97777,14.18002,12.278526,15.039219,14.814836,10.139637,10.416625,11.029829,7.17594,27.271974,15.721075,13.089738,7.422297,29.121534,11.628273,I1MZ51,COI1-B,AFB/TIR1,COI1-B,NA,NA,NA,NA
,GLYMA_19G100200,KRG94665,42.087683,43.03158,42.689001,27.129734,60.919431,75.317808,31.290701,13.615904,44.433814,19.247151,12.545145,27.410816,21.526502,7.313215,I1N7Y8,AFB2/3,AFB/TIR1,AFB2/3,NA,NA,NA,NA
,GLYMA_19G206800,KRG96377,29.37748,13.907445,26.728168,22.735804,20.598762,24.312187,18.931187,6.489989,13.373494,13.364493,7.57106,25.380331,5.994108,3.091861,I1NB13,TIR1,AFB/TIR1,TIR1,NA,NA,NA,NA
,GLYMA_01G002100,KRH74145,10.166688,11.093702,11.778406,9.940766,8.948254,8.096833,5.745906,6.055558,9.251965,12.466244,6.293037,4.882454,6.893253,1.926212,I1J4B0,A,ARF,ARF7/19,NA,NA,NA,NA
,GLYMA_01G002100,KRH74146,0.835179,0.651092,0,0,0,3.524888,0.121896,0.082109,0,2.170641,0,0,0,0,NA,A,ARF,ARF7/19,NA,NA,NA,NA
,GLYMA_01G103500,KRH75716,23.365836,7.195187,28.240802,14.13592,26.594544,33.652046,16.405528,4.918282,1.091669,2.353419,2.088168,0,0,0,K7K310,B,ARF,ARF9,NA,NA,NA,NA
,GLYMA_01G103500,KRH75717,0,0,0,0,0,0,0,0,0,0,0,34.272015,229.534254,84.12323,NA,B,ARF,ARF9,NA,NA,NA,NA
,GLYMA_02G239600,KRH72900,13.757865,13.859804,7.354321,8.771196,0,11.829332,13.561473,6.099923,1.55181,33.826894,14.166313,0,0,0,I1JHQ9,A,ARF,ARF8,NA,NA,NA,NA
,GLYMA_02G239600,KRH72896,18.062407,8.153791,25.144304,22.217284,22.517324,12.659333,10.229414,6.595787,2.716798,16.326781,17.054927,21.320212,7.310538,0.657995,I1JHQ8,A,ARF,ARF8,NA,NA,NA,NA
,GLYMA_02G239600,KRH72898,37.168779,5.439277,51.089719,41.924483,52.87285,68.490459,26.447317,6.308382,6.139986,23.9867,0,0,3.626608,0,K7KAF4,A,ARF,ARF8,NA,NA,NA,NA
,GLYMA_02G239600,KRH72897,2.909794,0,2.596753,0,0.776824,0,0.721851,0,0,1.008252,0,0,0,0,NA,A,ARF,ARF8,NA,NA,NA,NA
,GLYMA_02G239600,KRH72899,0,0,0,0.218475,0,1.122301,0,0.370842,0.023152,0,0.01194,1.161476,0.157309,0,NA,A,ARF,ARF8,NA,NA,NA,NA
,GLYMA_02G281700,KRH73577,20.402659,13.073416,21.247472,16.086843,15.922192,25.286879,14.471819,7.104116,9.899494,17.368718,10.711722,10.329377,3.938563,3.205269,I1JIZ7,A,ARF,ARF6/8,NA,NA,NA,NA
,GLYMA_02G281700,KRH73579,0.033496,0,0.116507,0,0,0,0,0.042072,0,0,0,0,0.060122,0,NA,A,ARF,ARF6/8,NA,NA,NA,NA
,GLYMA_02G281700,KRH73578,0,0,0,0,0,0,0,0,0,0,0,0.349353,3.61575,0,NA,A,ARF,ARF6/8,NA,NA,NA,NA
,GLYMA_03G070500,KRH65921,14.963834,9.149436,18.303006,10.014337,21.230577,13.709403,9.639602,6.361899,2.603449,4.159165,6.335987,42.803542,126.598709,27.491901,A0A0R0KGA0,B,ARF,ARF9,NA,NA,NA,NA
,GLYMA_03G070500,KRH65922,45.008611,32.497606,42.192675,40.924358,47.672295,55.806546,37.757871,8.439588,0.68589,7.071054,8.282666,8.647167,43.277837,3.279099,I1JM14,B,ARF,ARF9,NA,NA,NA,NA
,GLYMA_03G258300,KRH68924,4.339987,3.166519,4.274833,2.409705,4.103059,6.653272,3.223339,0.821665,4.490535,7.628789,10.969361,17.87578,13.94488,4.864193,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_04G200600,KRH63855,59.132821,34.77695,104.014185,54.023677,40.0361,67.500984,33.565553,5.893899,5.088175,13.614824,15.036259,22.636836,12.527492,10.758737,I1JXQ2,B,ARF,ARF2,NA,NA,NA,NA
,GLYMA_04G200600,KRH63856,26.73452,16.607927,13.127561,37.897829,0,68.231384,19.768642,0,7.291077,4.497224,1.352247,0,4.688822,1.582784,A0A0R0KAJ6,B,ARF,ARF2,NA,NA,NA,NA
,GLYMA_04G254200,KRH64757,6.158024,1.740286,7.621131,4.751942,5.288874,6.771227,5.649792,1.658487,2.313244,3.417963,1.952639,3.264723,0.916848,1.975302,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_05G200800,KRH59742,23.736932,7.300337,33.516112,13.387625,31.857638,31.063118,16.461606,4.197497,4.368482,20.950298,21.693739,44.030052,25.338768,21.300657,I1K6T1,B,ARF,ARF2,NA,NA,NA,NA
,GLYMA_05G200800,KRH59745,106.794815,41.848269,89.149798,90.20675,75.216825,290.33667,100.526085,3.924654,25.977418,38.494199,25.580965,0,0,0,I1K6T2,B,ARF,ARF2,NA,NA,NA,NA
,GLYMA_05G200800,KRH59746,0,7.085473,2.971384,0.501115,0.071856,31.068197,0.871983,0.026667,0,0.201144,0,41.942957,37.278468,9.539917,A0A0R0K3B9,B,ARF,ARF2,NA,NA,NA,NA
,GLYMA_05G200800,KRH59743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,ARF,ARF2,NA,NA,NA,NA
,GLYMA_05G200800,KRH59744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,ARF,ARF2,NA,NA,NA,NA
,GLYMA_05G221300,KRH60118,1.965651,1.135932,3.645584,3.817258,3.436221,4.684826,1.044273,0,5.350226,0,0,1.095481,3.834565,0.815351,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_05G221300,KRH60117,2.423506,4.725211,3.68051,3.187878,0,5.701825,2.135538,0.208647,13.489484,1.536381,1.988134,0,0,0,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_05G221300,KRH60116,1.523845,0.679327,2.978405,0,0,0.655943,0.702173,0.568936,0,1.605076,0.22693,3.260319,2.29521,0,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_06G164900,KRH54111,78.161251,91.333242,95.846621,102.461124,38.298793,237.526834,76.153152,1.569549,6.048278,18.983798,29.653419,3.67476,1.606524,0,I1KBY1,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_06G164900,KRH54110,62.736767,31.362845,104.850125,56.712867,48.102339,51.456817,31.907033,1.621706,8.665198,13.61886,14.695636,27.39663,14.501406,9.673077,I1KBY0,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_07G054800,KRH47895,25.597646,21.589312,16.960512,16.512749,59.556245,27.761288,23.940417,1.972203,0,23.794879,0.026187,3.00183,0,0,A0A0R0IZU3,B,ARF,ARF11/18,NA,NA,NA,NA
,GLYMA_07G054800,KRH47893,5.843258,8.903698,10.375662,0,4.33353,10.794896,0,0,0,13.29852,0,0,1.404485,0,K7KZU2,B,ARF,ARF11/18,NA,NA,NA,NA
,GLYMA_07G054800,KRH47892,16.708991,2.986484,21.181261,6.034517,28.777046,25.395101,15.547285,7.465424,0.950639,12.85155,7.623516,15.305503,4.599124,1.742318,K7KZU3,B,ARF,ARF11/18,NA,NA,NA,NA
,GLYMA_07G054800,KRH47894,0.040234,3.442882,0.673144,0,1.746042,0.171767,0,0.122256,0,6.286219,0,3.085778,0.532261,0,NA,B,ARF,ARF11/18,NA,NA,NA,NA
,GLYMA_07G130400,KRH49070,18.550414,8.914698,18.729053,15.95095,16.764956,21.488396,10.756881,15.689098,24.155359,16.71,23.181993,2.997797,25.928328,7.688516,I1KJW6,A,ARF,ARF7/19,NA,NA,NA,NA
,GLYMA_07G130400,KRH49071,0.512587,0.454696,0.317893,0.124804,1.208604,0.594838,0.596527,2.662431,0.219192,3.618788,4.794673,0.835716,1.282577,0.792176,NA,A,ARF,ARF7/19,NA,NA,NA,NA
,GLYMA_07G130400,KRH49072,2.236563,3.831503,1.292868,0,0,0,0,0.067548,10.709223,2.556377,3.559956,0,0.333267,0.182508,NA,A,ARF,ARF7/19,NA,NA,NA,NA
,GLYMA_07G134800,KRH49135,22.945872,12.408956,21.760539,9.655552,21.99834,35.787787,14.96938,3.140849,1.246423,6.359183,10.165337,7.28538,18.606157,2.377057,I1KK13,B,ARF,ARF9,NA,NA,NA,NA
,GLYMA_07G202200,KRH50128,7.458571,9.024369,8.560659,5.336939,16.609475,11.472063,6.282427,1.190848,1.010533,9.021946,3.522379,6.400357,2.190232,6.682929,K7L2T6,B,ARF,ARF3,NA,NA,NA,NA
,GLYMA_07G272800,KRH51289,21.39428,11.42527,26.186863,16.331981,21.039361,36.436725,15.076548,4.840373,8.026667,11.318375,14.133984,12.398824,15.443013,9.535981,I1KNS1,B,ARF,ARF1,NA,NA,NA,NA
,GLYMA_08G008100,KRH41063,41.903106,15.801812,55.329663,23.417877,55.230644,26.660841,30.862812,4.236413,6.303453,18.724678,28.260708,0,0,0.216233,I1KP30,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_08G008100,KRH41062,41.952212,22.684099,54.60072,48.464588,45.899996,104.119336,30.814124,2.166574,3.509392,26.934453,14.976262,48.206033,26.688307,8.83631,I1KP28,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_08G027800,KRH41403,2.60582,14.519476,3.416966,2.324032,2.042845,2.753059,1.241745,0.392938,2.846303,2.402831,5.093188,0,3.263135,1.000961,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_08G027800,KRH41404,0,0,0,0,0,0,0,0,0,0,0,2.128037,0,0,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_08G100100,KRH42603,20.284999,24.502918,29.81443,20.677236,19.493653,33.696086,15.036091,3.42688,7.251703,14.1823,1.547231,1.374726,0,0,I1KRX2,A,ARF,ARF6,NA,NA,NA,NA
,GLYMA_08G100100,KRH42602,10.947864,10.079952,14.917609,9.415081,13.41693,21.964082,7.507055,1.869723,1.156184,6.406989,3.415755,8.670656,16.528049,5.183271,I1KRX3,A,ARF,ARF6,NA,NA,NA,NA
,GLYMA_09G072200,KRH37536,5.371129,8.118639,5.524075,2.510028,15.194996,14.796613,4.769618,3.009542,10.573197,12.096284,4.75685,3.25663,5.827399,1.018694,I1L1T2,A,ARF,ARF7/19,NA,NA,NA,NA
,GLYMA_10G053500,KRH32480,6.843386,10.578868,6.023244,5.747051,2.422115,4.091491,4.876355,1.601361,3.509643,5.557321,1.747069,4.039302,2.398976,0.60104,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_10G210600,KRH34867,15.917001,6.97154,11.845456,9.537723,15.128833,15.270284,10.258521,19.079161,0.677706,7.753143,1.684311,3.091129,9.387851,7.798767,K7LKL9,C,ARF,ARF?,Based on At phylogeny with uniprot Ids,Glyma.20g180000,Glyma.10g210600,Glyma10g35481
,GLYMA_11G145500,KRH29907,15.909573,17.106814,12.520897,12.586106,9.310248,10.078082,10.215456,6.758486,0.759723,8.543969,30.401493,4.047713,2.691333,0.596545,I1LL50,C,ARF,ARF16?,NA,NA,NA,NA
,GLYMA_11G204200,KRH30741,13.373647,0,44.159391,35.09998,32.214786,40.620313,0,4.581945,17.181705,31.902014,10.26129,0,0,0,I1LM27,A,ARF,ARF8,NA,NA,NA,NA
,GLYMA_11G204200,KRH30740,19.241075,21.103199,3.05566,0,0,0,17.832069,3.172375,0,5.721453,0,18.572984,3.488127,1.310676,NA,A,ARF,ARF8,NA,NA,NA,NA
,GLYMA_12G071000,KRH24914,11.369516,0,15.642403,8.25687,10.921514,17.351369,11.332962,0,0,3.559222,0,12.382123,0,0,I1LQY7,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G071000,KRH24915,5.966938,8.041472,4.29423,1.704421,0.196041,0,1.458274,0.298801,2.217063,6.323998,3.024782,0,6.235388,2.460359,NA,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G076200,KRH25023,26.335605,11.584763,20.247595,18.655286,8.931069,9.221096,17.059916,4.482571,0.926472,6.567602,3.598909,4.867979,2.699865,1.715625,I1LR43,C,ARF,ARF16?,NA,NA,NA,NA
,GLYMA_12G164100,KRH26266,29.907851,25.658848,33.978092,21.848792,27.195518,37.96394,21.69255,12.158648,51.46068,22.344234,15.573356,19.141297,21.871309,7.347936,I1LT90,B,ARF,ARF1,NA,NA,NA,NA
,GLYMA_12G171000,KRH26392,6.838025,3.320544,7.218668,1.57592,17.048502,18.66144,8.23782,0,1.974878,3.157808,6.307746,0,0,0,I1LTG5,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G171000,KRH26386,5.101415,0,5.372018,2.289042,12.732037,13.912201,0,0.461877,1.201914,3.151519,3.013608,0,0,0,I1LTG6,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G171000,KRH26390,0,0,0,2.288279,3.58295,2.453795,0,0,0,0,0,0,0,0,NA,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G171000,KRH26391,0,0.617741,0,0,0,0,0,0,0,0.796604,0,0,1.673626,0,NA,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G171000,KRH26387,0,2.984782,0,0,0,0,5.321102,1.08553,0,5.852044,0,1.376155,1.343313,0,NA,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G171000,KRH26385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G171000,KRH26388,0,0,0.142965,0,0,0.937799,0.296691,0,0,0,0,0,2.911318,0,NA,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G171000,KRH26384,0,0,0,0,0,0,0,0,0,0,0,4.750373,0,1.006833,NA,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G171000,KRH26389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,B,ARF,ARF4,NA,NA,NA,NA
,GLYMA_12G174100,KRH26435,6.790246,8.025496,12.232763,9.210609,3.690524,5.984291,4.366953,3.835937,1.48984,9.6265,10.180705,2.747977,4.294896,1.283087,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_13G084700,KRH18828,5.679562,2.629559,8.239998,5.365894,5.103712,4.783866,4.657751,1.880635,3.92228,4.339434,3.273582,2.97164,1.739314,3.050161,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_13G112600,KRH19355,4.913881,30.760506,4.93859,2.670874,6.452188,6.452715,3.334648,1.481323,7.512236,15.458628,4.065856,3.120943,3.037992,2.595834,I1LY86,A,ARF,ARF7/19,MtARF13 like according to https://www.frontiersin.org/articles/10.3389/fpls.2015.00073/full,ARF7/19,NA,NA
,GLYMA_13G140600,KRH19870,6.946392,3.479995,4.376427,3.130076,4.930721,8.492394,3.843545,2.638746,2.024611,4.285501,2.965492,2.365339,0.758677,0,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_13G140600,KRH19869,0.43144,0.329681,0.547245,0.40688,0.354668,0.612847,0.664933,0.449082,0.07125,0.882886,0,0.497938,0.444526,0.213063,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_13G174000,KRH20373,27.510148,8.54111,32.950565,28.506968,27.50156,62.827289,21.196458,1.73375,1.032098,37.610488,1.765488,1.598356,2.12864,0.75782,I1M054,B,ARF,ARF3,NA,NA,NA,NA
,GLYMA_13G174000,KRH20375,2.120881,0,9.99962,7.170137,11.722765,1.291971,3.750237,0,0,0.457634,8.551942,0,0,0.542018,A0A0R0GQJ8,B,ARF,ARF3,NA,NA,NA,NA
,GLYMA_13G174000,KRH20374,0,0.525936,0.255909,0,1.817435,1.418679,0,0.081394,0,1.017614,0,6.182376,8.38008,13.602053,NA,B,ARF,ARF3,NA,NA,NA,NA
,GLYMA_13G221400,KRH21114,34.943626,18.239549,43.916594,27.736611,22.677736,46.86142,20.641988,1.658267,2.961649,28.990865,1.279513,19.960475,4.115777,1.477684,I1M1J5,A,ARF,ARF6,GREEN MEANS THAT THIS WAS ALSO CLASSIFIED AS THE SAME ARF IN GA TREES,NA,NA,NA
,GLYMA_13G221400,KRH21113,0,7.440723,0,12.346282,0,0,4.972617,0,7.481933,6.204439,16.599479,0,0,0,NA,A,ARF,ARF6,NA,NA,NA,NA
,GLYMA_13G234200,KRH21341,20.015874,16.848425,25.477957,15.363025,19.224741,22.512072,15.032154,2.369088,3.245702,16.866668,6.102816,13.162772,4.909548,5.517245,I1M1Y1,B,ARF,ARF3,NA,NA,NA,NA
,GLYMA_13G325200,KRH22880,20.574649,28.899009,26.015501,21.834941,14.182107,26.963102,17.141114,4.238725,2.404067,4.863141,3.899084,3.223804,6.134046,3.94121,I1M4J8,C,ARF,ARF16?,NA,NA,NA,NA
,GLYMA_14G032700,KRH14545,24.212797,16.736882,24.024276,19.818321,19.704864,35.95137,17.789199,8.291292,14.000412,25.536965,16.769496,2.523177,4.036692,0.814913,A0A0R0G8P7,A,ARF,ARF6/8,NA,NA,NA,NA
,GLYMA_14G032700,KRH14544,13.708186,7.606123,17.42315,10.648226,6.260302,6.847699,4.982989,5.15638,10.296462,8.99557,7.75998,5.871279,6.365219,2.227826,A0A0R0G8J4,A,ARF,ARF6/8,NA,NA,NA,NA
,GLYMA_14G208500,KRH17251,28.654153,15.700996,38.672628,29.855926,27.408631,36.436763,17.367548,9.124393,7.784451,20.863664,4.264282,10.382462,5.245149,0.799746,I1MBP7,A,ARF,ARF8,NA,NA,NA,NA
,GLYMA_14G217700,KRH17404,8.550153,3.847763,13.376594,6.469495,22.197358,31.89881,9.881139,0.714242,11.731992,1.691862,2.222687,2.604199,2.804241,0.04138,I1MC56,A,ARF,ARF5,NA,NA,NA,NA
,GLYMA_15G091000,KRH11131,7.583752,2.792242,2.349256,6.736819,0,34.199074,6.46916,0.55319,0,19.413768,0,0,0,0,K7MAG3,A,ARF,ARF6,NA,NA,NA,NA
,GLYMA_15G091000,KRH11130,24.133924,13.978302,30.63539,31.479093,11.108567,24.401469,13.87329,0.89866,2.885716,9.979565,2.665057,2.943608,3.766504,0.254089,K7MAG4,A,ARF,ARF6,NA,NA,NA,NA
,GLYMA_15G091000,KRH11132,0.724776,0.017661,0.284701,0.465299,0.459529,0.820776,0.586078,0.019759,0,0.551401,0,0.327577,0,0,NA,A,ARF,ARF6,NA,NA,NA,NA
,GLYMA_15G091000,KRH11133,6.663873,8.241576,20.402868,12.77895,9.577318,0,5.546119,0.605505,1.55788,9.515878,2.340603,0,0,0,NA,A,ARF,ARF6,NA,NA,NA,NA
,GLYMA_15G181000,KRH12588,4.032325,5.296817,4.74967,2.119553,5.300712,6.11811,2.602657,1.906902,4.651943,3.852314,0.712287,3.247057,2.678662,1.607938,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_15G181000,KRH12587,0,0,0.065297,0,0,0,0,0,0,0,0,0,1.677324,0,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_16G000300,KRH06026,14.781388,11.652401,18.395044,13.729412,19.271788,23.569644,11.692488,9.355251,18.586042,15.342007,9.478667,12.304855,10.567442,4.233626,I1MJS6,B,ARF,ARF1,NA,NA,NA,NA
,GLYMA_16G023600,KRH06451,21.273921,9.54386,22.065738,18.469447,51.901613,58.246322,22.000399,1.482088,0,0.823623,5.689943,23.922628,7.371101,1.267483,K7MET6,B,ARF,ARF11/18,NA,NA,NA,NA
,GLYMA_16G023600,KRH06452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,B,ARF,ARF11/18,NA,NA,NA,NA
,GLYMA_16G023600,KRH06450,5.713782,2.876151,7.916242,0,6.520308,0.990211,7.049383,0,0.167952,2.995035,0,0.41703,0,0,NA,B,ARF,ARF11/18,NA,NA,NA,NA
,GLYMA_17G047100,KRH02575,6.072287,15.007096,8.745208,3.623353,11.676215,13.823146,5.662069,4.171805,4.130239,11.207317,4.922437,2.99139,3.866596,0.354356,I1MS55,A,ARF,ARF7/19,MtARF13 like according to https://www.frontiersin.org/articles/10.3389/fpls.2015.00073/full,ARF7/19,NA,NA
,GLYMA_17G256500,KRH05923,7.845772,2.581028,17.662479,3.311743,28.072725,24.136925,7.085973,0.302999,69.18209,1.046225,1.222648,2.954026,4.491654,0.392173,I1MY19,A,ARF,ARF5,NA,NA,NA,NA
,GLYMA_18G046800,KRG98044,20.466313,13.97313,23.83219,17.80661,19.764697,28.970075,12.630524,5.731607,9.902572,18.295403,3.331042,5.013286,6.366706,0.793588,I1MZK6,A,ARF,ARF8,NA,NA,NA,NA
,GLYMA_18G184500,KRH00001,2.996375,4.035736,5.106264,2.436048,4.832336,7.419851,3.341658,0.583017,2.434198,2.217362,0.121262,0,7.262503,0,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_18G184500,KRH00002,0,0,0,0,0,0,0,0,0,0,0,2.927546,5.282805,3.166604,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_18G184500,KRH00003,2.179629,0,0,0,2.847192,0.824697,0.860265,0.072327,0.997795,0.072033,1.002915,0,0,0,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_19G181900,KRG95987,9.972585,13.444949,9.158905,8.149674,4.354319,7.709066,7.18282,1.472713,3.961215,7.123335,6.014668,2.851042,3.795803,2.774633,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_19G206100,KRG96367,2.670142,0.719824,3.700273,0.516924,19.003864,16.370928,4.90313,0.004142,0.351329,0.102209,0.383413,1.143706,0,0,K7MZF7,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_20G180000,KRG91907,7.176882,2.834938,5.605486,3.012621,9.500919,7.391105,5.76968,6.146764,0.230649,3.586474,1.923881,2.550623,3.168413,1.016304,NA,NA,ARF,NA,NA,NA,NA,NA
,GLYMA_01G019400,KRH74434,22.514233,35.850834,26.681081,20.735453,25.081359,26.514627,29.093086,16.122488,17.719987,88.717989,4.029864,6.167892,0,0,I1J4W6,NA,IAA,NA,NA,NA,NA,NA
,GLYMA_01G019400,KRH74432,4.02322,7.572444,1.479181,0,2.98328,7.873006,3.443632,3.67986,6.039812,8.866408,1.003818,10.540945,5.246408,0.577947,NA,NA,IAA,NA,NA,NA,NA,NA
